staffName,dept,method,date,summary,substantive,donor,outcome,reportID
Deborah Mettier,Planned Giving,Email,10/1/17,Deborah to host John for homecoming game. Lunch meeting pending.,N,John Summers,Positive,101
Carlos Bendiga,Library,Email,10/1/17,Not able to attend Fall Football games this season,N,Steven Sanders,Negative,102
Rashi Mohinder,Major Gifts,Email,10/1/17,Ken's no longer wishes to support the university. Unhappy with recently handling of gift recognition ceremony cancellation.,N,Ken Takahashi,Negative,103
Rashi Mohinder,Major Gifts,Phone,10/18/17,Wendy spoke with Troy Rigamonti and he identified Ingrid as a major gift prospect. He has been in touch with her due to her work with United Way in San Francisco and has expressed interest in getting involved in the Center,Y,Ingrid Horowitz,Positive,104
Ann Marie Levier,Major Gifts,Email,10/25/17,Emailed Yoshi to inquire if he would like to be featured in the annual report,N,Yoshi Margarita,Positive,105
Ann Marie Levier,Major Gifts,Email,10/26/17,"Bill would like to become more involved with University Center, first with a blog post and he will add the Institute to annual charities to support",Y,Bill Mandel,Positive,106
Ann Marie Levier,Major Gifts,Email,10/27/17,Emailed about continued funding or guidance regarding facilities project based on lab meeting,N,Jeff Zink,Positive,107
Ann Marie Levier,Major Gifts,Email,10/27/17,Laurie is not able to meet now (too busy),N,Laurie Stickel,Negative,108
Ann Marie Levier,Major Gifts,Phone,10/27/17,Left message for meeting to gather feedback about Dayton event and negative concerns about upcoming initiative,N,Carol Candy,Negative,109
Deborah Mettier,Planned Giving,Visit,10/3/17,Agreed to review giving opportunities,Y,Maria Del Carmen,Positive,110
Deborah Mettier,Planned Giving,Email,10/3/17,Requested class notation for new consulting job,N,Jonathan Dune,Positive,111
Carlos Bendiga,Library,Email,10/30/17,Not available during next trip to Seattle. Declined last meeting. Will try again in Winter.,N,Barbara Benaldi,Negative,112
Bill Bamers,Annual Giving,Visit,11/20/17,"Roger, Julie and Amy met Jennifer for a cultivation lunch in Palo Alto. Jennifer shared that she and Jack would like to try to get to the Ambassadors Society level to support research lab.",Y,Jennifer Ballens,Positive,113
Ann Marie Levier,Major Gifts,Letter,11/24/17,"Sent Marsha an leadership annual fund upgrade brochure with a handwritten note asking her to become a leadership annual fund donor with a gift of $5,000",Y,Marsha Kenmore,Positive,114
Ann Marie Levier,Major Gifts,Letter,11/24/17,"Sent upgrade brochure to Kenneth thanking them for their support since 2000 and asking them to become leadership annual fund donors with a gift of $2,500",Y,Kenneth Smith,Positive,115
